,competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,x_jitter,y_jitter
0,100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,0.66971725,1.345802170072687,-0.408110648
1,3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,0.67602936,1.0924351796384355,-0.192695188
2,One Dime,0,0,0,0,0,0,0,0,0,0.011,0.116,0.32261086,-0.062581307,-0.278803777
3,One Quarter,0,0,0,0,0,0,0,0,0,0.011,0.51099998,0.46116505,-0.00502375,-0.238118087
4,Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,0.52341465,-0.575788741,-0.697957718
5,Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002,0.50347546,1.1349739997746366,-0.081092154
6,Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,0.56914547,1.4310268464680862,-0.335163317
7,Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,0.23417824,-0.190029151,0.6472375429514735
8,Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,0.38010963,-0.438677239,0.43112839133228914
9,Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,0.34517681,-0.2104031,-0.653789695
10,Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,0.38975037,1.1296937314471989,-0.279565252
11,Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,0.36017628,-0.885659856,0.034423115
12,Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999,0.24524988,-0.910023643,0.22386541577949218
13,Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,0.42272076,-0.962683749,-0.077324379
14,Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,0.39460556,-0.524184496,-1.035968838
15,Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002,0.43088924,-0.853089183,0.18755521336516717
16,Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,0.39185505,-0.651242805,-1.015277717
17,Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,0.46783348,-1.116038974,-0.121134269
18,Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,0.5711974,-0.927743936,0.15787382272429612
19,Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.465,0.465,0.34158958,-0.428341252,0.6277376373515514
20,Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,0.5141243,-0.786931258,0.22170127572294157
21,Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.465,0.465,0.42178772,-0.991378027,0.1351420965436618
22,Hershey's Kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002,0.55375454,0.19435277938702233,0.7268535822603029
23,Hershey's Krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,0.62284481,1.0786102519182852,-0.210476206
24,Hershey's Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,0.56490501,0.8090404843551854,-0.046815251
25,Hershey's Special Dark,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,0.59236122,0.8954418164050625,-0.181765564
26,Jawbusters,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,0.28127439,-0.885586716,-0.157349523
27,Junior Mints,1,0,0,0,0,0,0,0,1,0.197,0.51099998,0.5721925,0.15596004191737395,0.9282629820642173
28,Kit Kat,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,0.767686,1.2049831668082074,-0.270790644
29,Laffy Taffy,0,1,0,0,0,0,0,0,0,0.22,0.116,0.41389557,-0.548437195,-0.519801833
30,Lemonhead,0,1,0,0,0,0,1,0,0,0.046,0.104,0.39141056,-0.685713077,-0.935448621
31,Lifesavers Big Ring Gummies,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,0.52911392,-0.428776379,-0.56435868
32,Peanut Butter M&M's,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,0.7146505,0.42528772305295837,0.9792774353182959
33,M&M's,1,0,0,0,0,0,0,0,1,0.82499999,0.65100002,0.66574585,0.1535118750256222,0.8463967113866225
34,Mike & Ike,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,0.46411716,-0.913369305,0.15405133556091233
